LocalVotacao;Bairro
1511;Vale do Sol
1635;Vila São José
1503;Centro
1686;Centro
1619;Alphaville
1600;Vale dos Cristais
1694;Jardim Canadá
1562;Pasárgada
1465;Jardim Canadá
1554;Barra do Céu
1627;Jardim Canadá
1260;Cristais
1252;BNH
1325;Retiro
1236;Centro
1333;Retiro
1414;Honório Bicalho
1279;Cristais
1520;Mário Melo
1481;Oswaldo Barbosa Pena
1414;Honório Bicalho
1406;Galo
1430;Santa Rita
1384;Centro
1244;Cabeceiras
1295;José de Almeida
1392;Vila São Luiz
1449;São Sebastião de Águas Claras
1309;Mingu
1210;Bela Fama
1660;Vila da Serra
1619;Alphaville
1651;Jardim Canadá
1708;Jardim Canadá
1511;Vale do Sol
1597;Jardins de Petrópolis
1155;Centro
1473;Morro do Chapéu
1546;Cabeceiras
1716;Água Limpa
1163;Centro
1643;Jardim Canadá
1643;Jardim Canadá
1422;Rio de Peixe
1228;Boa Vista
1619;Alphaville
1716;Água Limpa
1368;Centro
1538;Retiro
1074;Centro
1180;Centro
